_id,OBJECTID,PROJ_NUM,LAST_UPDATED_DATE,PROJECT,LOCATION,DETAILS,DURATION/ Construction Timeline,STATUS,INV_PRIORITY,OWNER,CONTACT_NAME,CONTACT_EMAIL,INV_WEB_SITE,INV_DISPLAY_PROGRAM,INV_DISPLAY_SYMBOL,START_YEAR,CONTR_NUMBER,geometry
37,9707,None,2024-06-19,Sidewalk Construction,WALDER AVE&lt;br&gt; From: [63.90 m N] ROEHAMPTON AVE&lt;br&gt; To: BROADWAY AVE ,Installation of new sidewalks where none existed before.,Q1 2027 - Q4 2028,Active,None,Transportation Services,"Angela Au, Engineering and Construction Services",aau2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2027,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.3822881488108,43.7128577210817],[-79.381969498348,43.7120471762684]]}"
38,10387,None,2025-04-07,Sidewalk Construction,LESLIE ST&lt;br&gt; From: WICKSTEED AVE&lt;br&gt; To:  VANDERHOOF AVE ,Installation of new sidewalks where none existed before.,Q1 2026 - Q4 2026,Active,None,Transportation Services,"Nicholas Mah, Engineering and Construction Services",nmah@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2025,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.3509906227379,43.7135985367344],[-79.3509578780275,43.7135272607718],[-79.3506492911481,43.7128555295709]]}"
39,11151,None,2024-06-26,Sidewalk Construction,CARPENTER RD&lt;br&gt; From: FISHERVILLE RD&lt;br&gt; To: BATHURST ST ,Installation of new sidewalks where none existed before.,Q2 2023 - Q4 2025 (Carry-Over),Active,None,Transportation Services,"Fernando Eyzaguirre Garcia, Engineering and Construction Services",feyzagu@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2023,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.4471094993785,43.7901879256754],[-79.4470925245107,43.7901082217238],[-79.4470814155962,43.7900539937117],[-79.4470701941268,43.7900006117532],[-79.4470587510342,43.7899463565798],[-79.4470476009863,43.7898965661062],[-79.4470360698173,43.7898421938739],[-79.4470243389498,43.7897888566785],[-79.4470125247223,43.7897328551051],[-79.4469934615948,43.7896641999648],[-79.4469805977241,43.7896304163164],[-79.4469518412524,43.7895805366517],[-79.4469094613333,43.7895367534254],[-79.446853715255,43.7895017940881],[-79.4467910704061,43.7894700098148],[-79.4467277261808,43.7894423107991],[-79.4466653155802,43.7894127309453],[-79.4466033187601,43.7893790107255],[-79.4465520950604,43.7893448724567],[-79.4465216615568,43.7892951269141],[-79.4465181458382,43.7892414793654],[-79.4465216886189,43.7891853409028],[-79.4465264981343,43.7891313002981],[-79.4465309347495,43.7890774125377]]}"
40,11178,None,2026-04-16,Sidewalk Construction,SHAFTESBURY ST&lt;br&gt; From: OVERBROOK PL&lt;br&gt; To: [127 m S] OVERBROOK PL ,Installation of new sidewalks where none existed before.,2024 - 2025,Active,None,Transportation Services, Transportation Services Capital Projects &amp; Program,tscapitalprojects@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2024,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.4592234019494,43.7623313942257],[-79.4588803009296,43.7615095315366],[-79.4587585252701,43.761220617108]]}"
41,11223,None,2023-06-15,Sidewalk Construction,RICHVIEW RD&lt;br&gt; From: [380 M W] SCARLETT RD&lt;br&gt; To: [664 M W] SCARLET RD ,Installation of new sidewalks where none existed before.,2027 - 2028,Active,None,Transportation Services, Metrolinx Customer Relations,CustomerRelations@metrolinx.com,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2027,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.5203310063175,43.6837348930505],[-79.5196466105197,43.6839056172265],[-79.5192961393624,43.6839853952114],[-79.5179925801674,43.6842821145108],[-79.5169786406979,43.684508698401]]}"
42,11291,None,2024-03-08,Sidewalk Construction,DAWLISH AVE&lt;br&gt; From: MILDENHALL RD&lt;br&gt; To: BAYVIEW AVE ,Installation of new sidewalks where none existed before.,Q4 2027 - Q1 2030,Active,None,Transportation Services,"Harry Persaud, Engineering and Construction Services",hpersau3@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2027,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.3846013974838,43.7235922398659],[-79.3819177709487,43.7241363723062],[-79.3797360926191,43.7246114606122]]}"
43,11391,None,2023-05-17,Sidewalk Construction,HOPEWELL AVE&lt;br&gt; From: DUFFERIN ST&lt;br&gt; To: [130 m E] DUFFERIN ST ,Installation of new sidewalks where none existed before.,Q3 2025 - Q4 2028 (Carry-Over),Active,None,Transportation Services,"Marfique Ahmed, Engineering and Construction Services",mahmed2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2024,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.451305430912,43.6986934775011],[-79.4511440676315,43.6987232866114],[-79.4509256579014,43.6987636331241],[-79.4508781845565,43.6987740515228],[-79.4507536727335,43.6988013753551],[-79.4506681255425,43.6988201493518],[-79.4506672668563,43.6988203380082],[-79.4505983331781,43.6988406430389],[-79.4505394784797,43.6988579801655],[-79.4504483759714,43.698898772336],[-79.4503977112861,43.6989214588022],[-79.4502373179003,43.6989758468592],[-79.4500749112898,43.6990174879929],[-79.4498227022623,43.6990676767353]]}"
44,12114,None,2024-01-10,Sidewalk Construction,WILBY CRES&lt;br&gt; From: WESTON RD&lt;br&gt; To: [70 m SW] WESTON RD [END] ,Installation of new sidewalks where none existed before.,Q4 2025 - Q3 2026 (Carry-Over),Active,None,Transportation Services,"Christy Manoharan, Engineering and Construction Services",cmanoha@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2025,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.5111497504471,43.6972927887748],[-79.5115388044637,43.6979602990809],[-79.5113155323467,43.6983427671314]]}"
45,12548,None,2025-10-10,Sidewalk Construction,ANCROFT PL&lt;br&gt; From: SHERBOURNE ST N&lt;br&gt; To: [N-S] ANCROFT PL [LEG] ,Installation of new sidewalks where none existed before.,Q3 2025 - Q4 2026,Active,None,Transportation Services,"Marfique Ahmed, Engineering and Construction Services",mahmed2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2025,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.3765547813054,43.6739826482293],[-79.3765915707642,43.673985943731],[-79.3766504399122,43.6739679407145],[-79.3767728368756,43.6739291149975],[-79.3770062426588,43.6738888586156],[-79.3772271773411,43.6738710916713],[-79.3774043043928,43.6738622795491]]}"
46,12553,TS2023-08-095,2022-05-06,Sidewalk Construction,MANITOU BLVD&lt;br&gt; From: BRIAR HILL AVE&lt;br&gt; To: RIDELLE AVE ,Installation of new sidewalks where none existed before.,Q3 2025 - Q4 2025,Active,None,Transportation Services,"Lucas Da Costa, Engineering and Construction Services",ldacost@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2025,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.4285835799934,43.7067692746395],[-79.4288966348433,43.7075172324091]]}"
47,12869,None,2023-06-13,Sidewalk Construction,WARWICK AVE&lt;br&gt; From: CHILTERN HILL RD&lt;br&gt; To: GLEN CEDAR RD ,Installation of new sidewalks where none existed before.,Q3 2026 - Q2 2027,Active,None,Transportation Services,"Matthew McAinsh, Engineering and Construction Services",mmcains@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2026,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.4285892354231,43.6952750735947],[-79.4278234011575,43.6954145311476],[-79.427704582419,43.6954378567139],[-79.4276220571007,43.6954413771017],[-79.4275220287129,43.6954343278205],[-79.4264391924566,43.695299234249],[-79.4261812899991,43.6952725663913]]}"
48,13245,None,2024-03-08,Sidewalk Construction,HOWDEN RD&lt;br&gt; From: LAWRENCE AVE E&lt;br&gt; To: LAURA SECORD WALK ,Installation of new sidewalks where none existed before.,2027 - Q4 2027,Active,None,Transportation Services,"Marfique Ahmed, Engineering and Construction Services",mahmed2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2027,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.291336668009,43.7550378059704],[-79.2906591752641,43.7533479970456],[-79.2898529428973,43.7513895735455],[-79.2887870947543,43.7488042273603],[-79.2879613195159,43.7468223560276]]}"
49,13246,None,2024-03-12,Sidewalk Construction,GOODERHAM DR&lt;br&gt; From: BRIAN AVE&lt;br&gt; To: MURRAY GLEN DR ,Installation of new sidewalks where none existed before.,2027 - Q4 2027,Active,None,Transportation Services,"Marfique Ahmed, Engineering and Construction Services",mahmed2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2027,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.3034080297413,43.7467419425857],[-79.3040223032803,43.7482642380865],[-79.3049492180573,43.7505612058419],[-79.3057070922097,43.7523537532829]]}"
50,13285,None,2024-03-12,Sidewalk Construction,ELINOR AVE&lt;br&gt; From: LAWRENCE AVE E&lt;br&gt; To: MURRAY GLEN DR ,Installation of new sidewalks where none existed before.,2027 - Q4 2027,Active,None,Transportation Services,"Marfique Ahmed, Engineering and Construction Services",mahmed2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2027,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.3005547768381,43.7440996084112],[-79.3013244866309,43.7460002328557],[-79.3017732132389,43.7471081873969],[-79.302458218838,43.7488286349214],[-79.3030131656248,43.7502338198262],[-79.3034942119538,43.7514588533867],[-79.3039453742948,43.7525847887324],[-79.3043033607017,43.753476514391],[-79.3045541502781,43.7540497633881]]}"
51,13347,None,2025-09-17,Sidewalk Construction,PASSMORE AVE&lt;br&gt; From: MIDDLEFIELD RD&lt;br&gt; To: MARKHAM RD ,Installation of new sidewalks where none existed before.,2027,Active,None,Transportation Services,"Jessica Orjuela, Engineering and Construction Services",jorjuel@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2027,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.2507168150561,43.830549155599],[-79.2525366453572,43.8301511541555],[-79.2537078893358,43.8298841282],[-79.2562059566737,43.8293304852476],[-79.2572875554442,43.8290937944465],[-79.2586428074641,43.8287994877924],[-79.2599039614193,43.8285235663272],[-79.261207698397,43.828246545271],[-79.2618872906126,43.8281012609581],[-79.2634410075313,43.8277505624764],[-79.2651928845714,43.8273902004456]]}"
52,13351,None,2025-09-18,Sidewalk Construction,ELLESMERE RD&lt;br&gt; From: MILITARY TRL&lt;br&gt; To: CONLINS RD ,Installation of new sidewalks where none existed before.,Q2 2027 - Q4 2028,Active,None,Transportation Services,"Shams Khan, Engineering and Construction Services",skhan5@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2027,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.188310595282,43.786578490956],[-79.1881016157444,43.7866321311154],[-79.1853261671973,43.7873444983475],[-79.1849936958609,43.7874260320171],[-79.1832570876479,43.7878518856098]]}"
53,13418,None,2025-07-11,Sidewalk Construction,QUEEN ELIZABETH BLVD&lt;br&gt; From: PLASTICS AVENUE&lt;br&gt; To: CANMOTOR AVENUE(NORTH LEG) ,Installation of new sidewalks where none existed before.,Q3 2026 - Q3 2027,Active,None,Transportation Services,"Nicholas Mah, Engineering and Construction Services",nmah@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2026,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.511436969647,43.6236306790489],[-79.5123754563584,43.6234171796277],[-79.5124218206509,43.6234032863331],[-79.5125609765848,43.6233615613223],[-79.5126288101257,43.6233273233097],[-79.5126600556551,43.6232997503533],[-79.5127067126589,43.6232585304477],[-79.5127345171743,43.6231841361487],[-79.5127314291368,43.623095064896],[-79.5127198820854,43.6230366155614],[-79.5125764302078,43.6226699961131],[-79.5125415420439,43.6225485079798],[-79.5125368398686,43.6224478349775],[-79.5125470483571,43.6223629839086],[-79.5126016104699,43.6222467337542],[-79.5128157886533,43.6220136095358],[-79.5129053071663,43.6218943803404],[-79.5129642841548,43.6217029542579],[-79.5129525632846,43.6215272517268],[-79.5128860912137,43.6213816974857],[-79.5127903514855,43.6212174982648],[-79.5127254676382,43.6211613169201],[-79.5126262010587,43.6211211699473],[-79.5125856955201,43.6211110406292],[-79.5122988421262,43.621098267347],[-79.512187063814,43.6211063553806],[-79.5120476160102,43.6211074512303],[-79.5117278712598,43.6211414440896],[-79.5115732591841,43.6211650507351],[-79.5104959110868,43.6213926562924],[-79.5086603410743,43.6217266767635],[-79.5086570155207,43.6217273728241]]}"
54,13519,None,2025-10-28,Sidewalk Construction,WESTSIDE DR&lt;br&gt; From: THE WEST MALL&lt;br&gt; To: [300 m S] THE WEST MALL ,Installation of new sidewalks where none existed before.,Q3 2027 - Q4 2028,Active,None,Transportation Services,"Adriana Gomez, Engineering and Construction Services",AGOMEZ4@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2026,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.563603489938,43.6190131331591],[-79.5635829218135,43.6189644010616],[-79.5635512638389,43.6188184850922],[-79.5635431880623,43.6186267730273],[-79.5635705678914,43.6184436474947],[-79.5635822375292,43.6183091383118],[-79.5636253016292,43.6180544599082],[-79.5636447908434,43.6178570111825],[-79.563620988626,43.6177053776336],[-79.5635340313081,43.6174107197341],[-79.5635206300727,43.617310243505],[-79.5657476618787,43.616804970045]]}"
55,15186,None,2026-04-15,Sidewalk Construction,WEST HILL DR&lt;br&gt; From: LAWRENCE AVE E&lt;br&gt; To: OLD KINGSTON RD ,Installation of new sidewalks where none existed before.,Q2 2026 - Q4 2026,Active,None,Transportation Services,"Niloufar Mohajerani, Engineering and Construction Services",nmohaje@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2026,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.1823881045899,43.7753693323419],[-79.1822736573073,43.775306049348],[-79.1821909208503,43.7752668947115],[-79.1820572966563,43.7751934867787],[-79.1819312009984,43.7750872094093],[-79.1818060383284,43.7749831100762],[-79.1817180624308,43.7749199236184],[-79.181732611864,43.7743237309828],[-79.1817311989885,43.7741872694738],[-79.180921252663,43.7722488443744],[-79.1809162640829,43.7722371685415],[-79.1798927774532,43.7698408574246]]}"
56,15635,None,2022-08-04,Sidewalk Construction,PARKLAND RD&lt;br&gt; From: BLANTYRE AVE&lt;br&gt; To: CLONMORE DR ,Installation of new sidewalks where none existed before.,Q3 2025 - Q4 2025,Active,None,Transportation Services,"Christy Manoharan, Engineering and Construction Services",cmanoha@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2025,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.2830072396211,43.6851505325218],[-79.2818740225923,43.6852538529882],[-79.2816919232968,43.6852675923979],[-79.2814203506652,43.6852998291654],[-79.2812592420322,43.6853125278653],[-79.2809782716837,43.6853025474902],[-79.28082407594,43.6852766432322],[-79.2806628137198,43.6852259446199],[-79.2804314818408,43.6851416173597],[-79.2802839936408,43.6850962824415],[-79.2801359134896,43.685053466559]]}"
57,15742,None,2023-08-02,Sidewalk Construction,"WESTGATE BLVD&lt;br&gt; From: ARMOUR BLVD
&lt;br&gt; To: [85.06 m N/E] WESTGATE CRES ",Installation of new sidewalks where none existed before.,Q1 2023 - Q3 2026 (Carry-Over),Active,None,Transportation Services,"Thomas Burgwin, Engineering and Construction Services",tburgwi@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2023,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.4311409949913,43.7433277791414],[-79.4310868758452,43.7434438504837],[-79.4310510402463,43.7435207091397],[-79.4309463908845,43.743738437528],[-79.4308424034429,43.7439057585191],[-79.4307304079481,43.7440616520186],[-79.4305401469878,43.7443314046135],[-79.4303838639876,43.7445179082656]]}"
58,15757,None,2023-07-11,Sidewalk Construction,DOVER AVE&lt;br&gt; From: LLOYD GEORGE AVE&lt;br&gt; To: BROWN&apos;S LINE ,Installation of new sidewalks where none existed before.,Q2 2026 - Q4 2026,Active,None,Transportation Services,"Nicholas Mah, Engineering and Construction Services",nmah@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2026,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.5445517101717,43.595319512755],[-79.5430568545606,43.5956595238175],[-79.5429486575409,43.5956784261486],[-79.5425605950632,43.5957686235557]]}"
59,15909,None,2023-06-26,Sidewalk Construction,DALEENA DR&lt;br&gt; From: ROYAL DOULTON DR&lt;br&gt; To: BEVERIDGE DR ,Installation of new sidewalks where none existed before.,2027 - Q4 2027,Active,None,Transportation Services,"Marfique Ahmed, Engineering and Construction Services",mahmed2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2027,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.3237563663932,43.7482576115614],[-79.323587326766,43.7478668047044],[-79.3234790004852,43.7476436190924],[-79.3234661893618,43.7476164687726],[-79.3234414472604,43.7475643567808],[-79.3234268458387,43.7475088588936],[-79.3234385573292,43.7474572631709],[-79.323478530544,43.7474342530209],[-79.3235292171006,43.747429290614],[-79.3235757760808,43.7474383825973],[-79.3236176666263,43.7474520651736],[-79.3236612077124,43.7474618185542],[-79.3242366101532,43.747338690714],[-79.3243237602287,43.7473222606765],[-79.3244225529545,43.7473021048561],[-79.3245198560899,43.7472703162048],[-79.3245661724776,43.7472387651662],[-79.3245926888067,43.7472150867836],[-79.3246075440917,43.7471831363951],[-79.324713814493,43.7468848626137]]}"
60,15985, ,2023-06-13,Sidewalk Construction,SELECT AVE&lt;br&gt; From: STATE CROWN BLVD&lt;br&gt; To: MARKHAM AVE ,Installation of new sidewalks where none existed before.,Q2 2026 - Q4 2026,Active,None,Transportation Services,"Marfique Ahmed, Engineering and Construction Services",mahmed2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2026,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.259713822926,43.8310987638071],[-79.2580804545213,43.8314802929089],[-79.2562905115684,43.8319062208792],[-79.2560869933393,43.8319444039967],[-79.2558789041342,43.832020705523],[-79.2557814097687,43.8320688797817],[-79.2554655331246,43.8323124456863],[-79.2553528776427,43.8324100750191],[-79.2552984481649,43.8324478547954],[-79.2552429214453,43.8324924451054],[-79.2551800748308,43.8325360754956],[-79.2550986047273,43.8325847425476],[-79.2550134714354,43.8326324826793],[-79.2549264220077,43.8326680410911],[-79.2547377935225,43.8327102952091],[-79.2541920958099,43.832841032582],[-79.2523081510969,43.8332508926684],[-79.2519955254912,43.8333281324326],[-79.2518269739519,43.8333647816368],[-79.251663751912,43.8333872564892],[-79.2513524860192,43.8334181509463],[-79.2510205671433,43.8334518348995]]}"
61,15986,TS2023-21-067,2023-06-13,Sidewalk Construction,WEXFORD BLVD&lt;br&gt; From: LAWRENCE AVE E&lt;br&gt; To: [330 m S] SURREY AVE ,Installation of new sidewalks where none existed before.,2027 - Q4 2027,Active,None,Transportation Services,"Marfique Ahmed, Engineering and Construction Services",mahmed2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2027,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.2977707665581,43.7351743271742],[-79.2984234616856,43.7367507212148],[-79.2989760800623,43.7381019109363],[-79.3000890968134,43.7408223028556],[-79.3002676359953,43.7412726856569],[-79.300988990727,43.7430292183928],[-79.301354655246,43.743920969934]]}"
62,16224, ,2024-01-02,Sidewalk Construction,[N-S] HILLSIDE DR [LEG]&lt;br&gt; From: GAMBLE AVE&lt;br&gt; To: [85 m S] GAMBLE AVE [END] ,Installation of new sidewalks where none existed before.,Q2 2019 - Q3 2027,Active,None,Transportation Services,"Christy Manoharan, Engineering and Construction Services",cmanoha@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2025,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.3562022750222,43.6884311460419],[-79.3561617189354,43.6885266411123],[-79.3561387779063,43.6886482252004],[-79.3561387539168,43.6887106815864],[-79.3561366142216,43.6887916149763],[-79.356143979534,43.6889028749024],[-79.3561610067079,43.688978331716],[-79.3561978341166,43.6891046239681]]}"
63,16424,None,2024-03-06,Sidewalk Construction,CALDOW RD&lt;br&gt; From: BRIAR HILL AVE&lt;br&gt; To: HILLHURST BLVD ,Installation of new sidewalks where none existed before.,Q2 2027 - Q4 2027,Active,None,Transportation Services,"Christy Manoharan, Engineering and Construction Services",cmanoha@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2027,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.4215009377642,43.7100314895236],[-79.4214962941966,43.7100211699828],[-79.4213033580991,43.7095923492737],[-79.4212879888129,43.7095410026633],[-79.4212824960997,43.7095272440441],[-79.421251946738,43.7094687120631],[-79.4212326390949,43.7094011865529],[-79.4212288606492,43.7093291720076],[-79.4212196289026,43.7092616624379],[-79.4211906820495,43.7091536137669]]}"
64,16505,None,2024-06-26,Sidewalk Construction,RADWAY AVE&lt;br&gt; From: NEILSON DR&lt;br&gt; To: [50M E] KOOS RD ,Installation of new sidewalks where none existed before.,Q4 2026 - Q1 2029,Active,None,Transportation Services,"Shailaja Patel, Engineering and Construction Services",spatelz@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2026,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.5663066210757,43.6321983695096],[-79.566203118454,43.6322229015741],[-79.5650136412942,43.6325048218381],[-79.5643303524997,43.6326545090278]]}"
65,16706,None,2024-04-24,Sidewalk Construction,BAYVIEW AVE&lt;br&gt; From: [285 m N] RIVER ST E BAYVIEW RAMP&lt;br&gt; To: RIVER ST E BAYVIEW RAMP ,Installation of new sidewalks where none existed before.,2025,Active,None,Transportation Services,"Manuel Laorden, ",mlaorde@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2025,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.3547172713122,43.6576693810537],[-79.3547829189758,43.657778443791],[-79.354892743582,43.658011656057],[-79.3549594042257,43.6581647644664],[-79.355025293713,43.6583133711812],[-79.3550904164078,43.6584664793559],[-79.355153194932,43.6586195845193],[-79.3552359340552,43.6588582295162],[-79.3552873894237,43.6590518263136],[-79.3553172672679,43.6592003881436],[-79.3553471344535,43.6593534506213],[-79.3553854854777,43.6595155260658],[-79.35543122333,43.659673109262],[-79.3554654711436,43.6597766698385],[-79.3555031869295,43.6598802329863],[-79.3555436292716,43.6599837995653],[-79.3555886867255,43.6601384806926]]}"
66,16808,None,2024-03-12,Sidewalk Construction,DEWEY DR&lt;br&gt; From: ELLESMERE RD&lt;br&gt; To: [85M E] ARCHWOOD CRES ,Installation of new sidewalks where none existed before.,2027 - Q4 2027,Active,None,Transportation Services,"Marfique Ahmed, Engineering and Construction Services",mahmed2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2027,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.3044029829992,43.7602282277622],[-79.3042512039302,43.7598748046049],[-79.3042021898668,43.7597592525379],[-79.3041730738463,43.7596421773359],[-79.3041756128797,43.7595791724822],[-79.3042493618817,43.7593362640766],[-79.3042491353155,43.7593143358977],[-79.3042481761093,43.7592192448175],[-79.3042484976706,43.7591202314116],[-79.3042316663969,43.7590481921874],[-79.3042024220468,43.7589671296087],[-79.3041347311316,43.7587779859939],[-79.3037599676761,43.7577871890446],[-79.3037300146761,43.7576881308332],[-79.3037085005356,43.7576250756607],[-79.3037017148527,43.7575620538807],[-79.3036995397111,43.7575170432973],[-79.3037082196426,43.7574720504563],[-79.303731680951,43.757418091709],[-79.3037893839932,43.7573371683713],[-79.3041146107902,43.7568606622345],[-79.3043626589715,43.7564830262574],[-79.3044577774639,43.756348170258]]}"
67,17057,None,2025-04-16,Sidewalk Construction,BRISBANE RD&lt;br&gt; From: ALNESS ST&lt;br&gt; To: MARTIN ROSS AVE ,Installation of new sidewalks where none existed before.,Q1 2027 - Q3 2027,Active,None,Transportation Services,"Matthew McAinsh, Engineering and Construction Services",mmcains@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2027,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.4725063156056,43.772211499733],[-79.4754194547229,43.7715771686835],[-79.4754878935691,43.7715594042712],[-79.4755448560339,43.7715418182865],[-79.4755845460146,43.7715341127694],[-79.4756225311481,43.7715340038621],[-79.4756563887605,43.7715396278083],[-79.4756952059292,43.7715645801109],[-79.4757299663182,43.7716108643107],[-79.4757627178708,43.771694855773],[-79.476552909068,43.7735583929028]]}"
68,17197,None,2025-04-07,Sidewalk Construction,BEECHGROVE DR&lt;br&gt; From: COPERFIELD RD&lt;br&gt; To: [320 m E] MINUK ACRES ,Installation of new sidewalks where none existed before.,2025,Active,None,Transportation Services,"Ivy Xu, Engineering and Construction Services",ixu@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2025,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.1539548570558,43.7669912975387],[-79.1531260106917,43.7670992132173],[-79.1530996817688,43.7670901339392],[-79.1530331177933,43.7670539317117],[-79.1530030029045,43.7670268385791],[-79.152975994385,43.76699975397],[-79.1529498488565,43.7669546696356],[-79.1529044688417,43.7668825233752],[-79.1526678149104,43.7663237391001],[-79.152520745767,43.7659812484825],[-79.1523644302842,43.7656297220601],[-79.1521046541449,43.7650438446491],[-79.1520605941989,43.7649378684403],[-79.1519285612788,43.7646202515885],[-79.1515654052069,43.7637909992628]]}"
69,17207,None,2025-01-31,Sidewalk Construction,MORNINGSIDE AVE&lt;br&gt; From: PAN AM DR&lt;br&gt; To: [200 m S] HWY 401 ,Installation of new sidewalks where none existed before.,Q3 2026 - Q3 2027,Active,None,Transportation Services,"Promil Sarkar, Engineering and Construction Services",psarkar@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2026,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.1955460025577,43.7920445605851],[-79.1958756837618,43.7928112266656],[-79.1960583313365,43.7933050473812],[-79.1962780083723,43.7938989174089],[-79.1963279318203,43.7941617201031]]}"
